time,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13
0,227.479047173,7.2216867183,56.3667117838,183.478326903,67.5971741544,16.9041776404,160.585702383,710.754352052,42.2626332517,22.6298832877,44.4415826986,1.26902699842,154.875032923
368,225.491002791,6.44094819595,51.403841812,178.032125508,61.2010890608,15.1755117121,165.676162366,592.618675928,32.2372949288,22.2023169472,40.3661354193,1.26902699842,276.91416077
1124,229.467091554,6.12865278701,51.403841812,178.032125508,62.2975607911,15.9733575252,160.585702383,639.251179661,36.8643741548,22.9149275148,36.2906881401,1.11204012973,265.819694602
1447,229.467091554,7.37783442277,44.7866818496,179.121365787,76.5516932855,19.0317664752,162.282522377,900.393200566,52.930621467,23.3424938553,40.3661354193,1.42601386711,210.347363763
1724,231.455135935,9.09545917193,43.132391859,176.942885229,66.5007024241,16.9041776404,158.888882388,843.397918226,56.2724009079,23.9125823094,38.3284117797,1.7399876045,216.687058716
2056,229.467091554,7.84627753617,46.4409718402,179.121365787,NA,NA,NA,NA,NA,NA,41.3849972392,1.7399876045,253.140304696
3157,237.419269079,6.75324360489,49.7495518214,181.299846345,52.0638246413,13.0479228773,162.282522377,622.67073389,29.1525754449,22.9149275148,38.3284117797,1.26902699842,178.648888997
4614,237.419269079,7.2216867183,46.4409718402,179.121365787,47.3124471432,11.9841284599,163.979342371,644.432568965,21.697836692,23.1999717418,38.3284117797,1.26902699842,229.366448622
6093,235.431224698,8.31472064958,48.0952618308,180.210606066,63.0285419447,15.840383223,162.282522377,784.330080164,34.5508345418,23.7700601959,33.2341026806,1.26902699842,184.988583951
6854,229.467091554,7.84627753617,48.0952618308,179.121365787,61.0183437724,15.1755117121,162.282522377,846.506751808,30.4378752299,23.3424938553,29.1586554013,1.26902699842,192.913202642
7432,231.455135935,6.75324360489,49.7495518214,180.210606066,60.2873626189,15.1755117121,162.282522377,895.211811262,31.3375850794,23.1999717418,30.1775172211,1.11204012973,289.593550676
8283,231.455135935,6.28480049148,49.7495518214,181.299846345,NA,NA,NA,NA,NA,NA,31.1963790409,1.11204012973,240.46091479
8890,233.443180316,7.37783442277,51.403841812,181.299846345,56.9979474278,14.6436145034,160.585702383,750.13291076,28.2528655954,23.4850159688,32.2152408608,1.11204012973,235.706143575
9618,229.467091554,6.90939130936,53.0581318026,180.210606066,NA,NA,NA,NA,NA,NA,33.2341026806,1.11204012973,230.95137236
10240,227.479047173,8.31472064958,53.0581318026,179.121365787,55.7187304091,13.8457686904,162.282522377,723.189686381,21.3122467565,23.3424938553,35.2718263202,1.11204012973,194.49812638
11052,225.491002791,7.2216867183,51.403841812,178.032125508,NA,NA,NA,NA,NA,NA,35.2718263202,1.11204012973,205.592592548
11836,231.455135935,6.90939130936,48.0952618308,178.032125508,53.8912775252,13.579820086,163.979342371,642.360013244,20.4125369071,23.0574496283,36.2906881401,1.11204012973,268.989542079
12604,237.419269079,6.75324360489,38.1695218873,178.032125508,NA,NA,NA,NA,NA,NA,36.2906881401,1.11204012973,253.140304696
12850,235.431224698,7.2216867183,43.132391859,178.032125508,NA,NA,NA,NA,NA,NA,37.3095499599,1.11204012973,219.856906192
13287,237.419269079,6.90939130936,41.4781018684,180.210606066,52.7948057949,13.1808971795,165.676162366,653.759069712,18.3560572511,22.7724054013,36.2906881401,1.11204012973,226.196601146
14631,237.419269079,8.00242524064,41.4781018684,178.032125508,53.1602963716,13.4468457839,162.282522377,699.355295584,22.3404865845,22.7724054013,40.3661354193,1.11204012973,251.555380958
16104,239.40731346,7.69012983171,43.132391859,179.121365787,49.8708811806,12.781974273,162.282522377,684.847405534,20.7981268425,22.9149275148,43.4227208788,1.11204012973,226.196601146
16798,237.419269079,8.15857294511,41.4781018684,179.121365787,52.9775510833,12.9149485752,165.676162366,699.355295584,20.926656821,22.7724054013,46.4793063383,1.11204012973,205.592592548
17193,241.395357842,8.15857294511,41.4781018684,180.210606066,48.5916641619,12.2500770643,162.282522377,716.972019216,18.6131172081,23.1999717418,46.4793063383,1.11204012973,226.196601146
17610,237.419269079,8.15857294511,39.8238118779,179.121365787,58.2771644466,14.9095631078,163.979342371,625.779567472,21.697836692,23.4850159688,47.4981681581,1.11204012973,216.687058716
18437,235.431224698,7.69012983171,43.132391859,179.121365787,NA,NA,NA,NA,NA,NA,44.4415826986,1.11204012973,210.347363763
18991,237.419269079,7.53398212724,46.4409718402,182.389086624,57.7289285814,14.6436145034,158.888882388,690.028794837,23.1116664555,24.0551044229,43.4227208788,1.11204012973,173.894117783
20518,235.431224698,7.37783442277,49.7495518214,181.299846345,58.2771644466,14.6436145034,163.979342371,687.956239116,17.8419373371,23.4850159688,40.3661354193,0.955053261033,210.347363763
22094,231.455135935,6.59709590042,48.0952618308,181.299846345,61.749324926,15.5744346187,163.979342371,686.919961255,16.0425176381,23.3424938553,36.2906881401,0.955053261033,164.384575353
22244,233.443180316,6.90939130936,48.0952618308,183.478326903,61.749324926,15.7074089208,163.979342371,694.17390628,15.2713377671,23.7700601959,36.2906881401,0.955053261033,164.384575353
23514,237.419269079,5.97250508254,49.7495518214,184.567567182,60.1046173305,15.3084860143,162.282522377,655.831625433,17.3278174231,23.1999717418,36.2906881401,0.955053261033,173.894117783
24913,239.40731346,6.12865278701,46.4409718402,184.567567182,57.7289285814,14.9095631078,163.979342371,641.323735383,15.9139876596,23.7700601959,29.1586554013,0.955053261033,172.309194044
26479,227.479047173,5.81635737807,51.403841812,180.210606066,60.2873626189,15.3084860143,162.282522377,621.634456029,20.926656821,23.6275380823,24.0643463022,1.11204012973,165.969499091
